Dates,Volume,Change,Direction
Tue 04 Sep '01,1.86 B,-0.0245 (-6.95%),DOWN
Thu 06 Sep '01,1.95 B,-0.0137 (-4.09%),DOWN
Mon 10 Sep '01,1.87 B,-0.0094 (-2.90%),DOWN
Mon 17 Sep '01,1.14 B,-0.0324 (-10.27%),DOWN
Tue 18 Sep '01,894.69 M,-0.0171 (-6.03%),DOWN
Wed 19 Sep '01,1.56 B,-0.0033 (-1.22%),DOWN
Thu 20 Sep '01,1.47 B,-0.0223 (-8.46%),DOWN
Fri 21 Sep '01,1.23 B,-0.0159 (-6.61%),DOWN
Fri 12 Oct '01,1.25 B,+0.0206 (+6.51%),UP
Mon 15 Oct '01,910.27 M,-0.0015 (-0.45%),UP
Tue 16 Oct '01,1.39 B,+0.0338 (+10.06%),UP
Fri 09 Nov '01,2.27 B,+0.0288 (+6.93%),UP
Mon 12 Nov '01,1.46 B,+0.0119 (+2.69%),UP
Tue 04 Dec '01,1.39 B,+0.0361 (+8.05%),UP
Wed 05 Dec '01,1.71 B,+0.0391 (+8.07%),UP
Thu 06 Dec '01,1.14 B,-0.0083 (-1.58%),UP
Thu 03 Jan '02,1.41 B,+0.0368 (+6.55%),UP
Mon 14 Jan '02,1.37 B,-0.0276 (-5.25%),DOWN
Fri 08 Feb '02,1.87 B,-0.0191 (-3.82%),DOWN
Tue 19 Feb '02,1.97 B,-0.0317 (-6.63%),DOWN
Thu 21 Feb '02,1.53 B,-0.0321 (-6.83%),DOWN
Fri 22 Feb '02,2.59 B,-0.0215 (-4.91%),DOWN
Wed 20 Mar '02,2.29 B,-0.0427 (-9.93%),DOWN
Wed 24 Apr '02,1.58 B,-0.0260 (-8.76%),DOWN
Fri 26 Apr '02,1.19 B,-0.0281 (-9.99%),DOWN
Wed 12 Jun '02,2.27 B,-0.0221 (-8.65%),DOWN
Wed 19 Jun '02,2.6 B,-0.0369 (-15.66%),DOWN
Thu 20 Jun '02,1.43 B,-0.0018 (-0.92%),DOWN
Fri 21 Jun '02,1.49 B,-0.0081 (-4.10%),DOWN
Thu 27 Jun '02,3.18 B,-0.0249 (-14.90%),DOWN
Wed 31 Jul '02,4.85 B,-0.0429 (-31.75%),DOWN
Thu 01 Aug '02,1.73 B,-0.0088 (-9.58%),DOWN
Fri 02 Aug '02,1.8 B,-0.0055 (-6.59%),DOWN
Mon 05 Aug '02,1.34 B,-0.0063 (-8.02%),DOWN
Mon 21 Oct '02,933.73 M,+0.0071 (+9.04%),UP
Tue 22 Oct '02,1.27 B,+0.0028 (+3.32%),UP
Wed 23 Oct '02,928.7 M,+0.0036 (+4.06%),UP
Fri 01 Nov '02,2.14 B,+0.0183 (+18.49%),UP
Mon 04 Nov '02,2.69 B,+0.0128 (+10.92%),UP
Tue 05 Nov '02,2.04 B,-0.0052 (-3.96%),UP
Wed 06 Nov '02,1.66 B,+0.0097 (+7.72%),UP
Thu 16 Jan '03,2.05 B,-0.0068 (-6.76%),DOWN
Fri 17 Jan '03,1.06 B,-0.0035 (-3.76%),DOWN
Tue 21 Jan '03,970.49 M,-0.0023 (-2.51%),DOWN
Fri 14 Feb '03,3.57 B,+0.0181 (+21.99%),UP
Tue 18 Feb '03,1.75 B,+0.0058 (+5.73%),UP
Wed 19 Feb '03,1.15 B,+0.0010 (+0.94%),UP
Thu 20 Feb '03,982.61 M,0.0000 (0.00%),UP
Mon 17 Mar '03,1.32 B,+0.0065 (+5.81%),UP
Tue 18 Mar '03,939.61 M,-0.0009 (-0.77%),UP
Wed 23 Apr '03,608.89 M,+0.0027 (+2.26%),UP
Fri 02 May '03,1.7 B,+0.0123 (+10.26%),UP
Mon 05 May '03,1.58 B,+0.0032 (+2.45%),UP
Tue 06 May '03,1.15 B,+0.0002 (+0.12%),UP
Fri 09 May '03,9.28 B,+0.0443 (+33.06%),UP
Mon 12 May '03,3.02 B,-0.0050 (-2.81%),UP
Fri 30 May '03,2.14 B,+0.0163 (+8.10%),UP
Fri 18 Jul '03,1.28 B,-0.0062 (-3.36%),DOWN
Mon 21 Jul '03,986.78 M,-0.0027 (-1.51%),DOWN
Tue 29 Jul '03,2.8 B,-0.0112 (-6.57%),DOWN
Fri 08 Aug '03,3.77 B,-0.0317 (-19.69%),DOWN
Mon 11 Aug '03,1.68 B,+0.0070 (+5.42%),DOWN
Mon 08 Sep '03,1.51 B,+0.0072 (+4.60%),UP
Tue 09 Sep '03,2.49 B,+0.0100 (+6.14%),UP
Fri 26 Sep '03,896.5 M,-0.0056 (-3.82%),DOWN
Mon 29 Sep '03,1.95 B,-0.0076 (-5.40%),DOWN
Tue 30 Sep '03,1.02 B,+0.0002 (+0.13%),DOWN
Tue 28 Oct '03,956.89 M,+0.0090 (+6.28%),UP
Wed 29 Oct '03,494.25 M,0.0000 (0.00%),UP
Fri 07 Nov '03,4.3 B,+0.0298 (+19.70%),UP
Mon 10 Nov '03,1.21 B,-0.0005 (-0.28%),UP
Fri 26 Dec '03,363.95 M,+0.0078 (+4.32%),UP
Mon 29 Dec '03,756.77 M,+0.0080 (+4.22%),UP
Tue 30 Dec '03,551.18 M,+0.0004 (+0.21%),UP
Tue 06 Jan '04,1.11 B,+0.0081 (+4.07%),UP
Thu 29 Jan '04,930.17 M,-0.0055 (-2.92%),DOWN
Thu 25 Mar '04,997.12 M,+0.0112 (+5.81%),UP
Fri 26 Mar '04,551.65 M,-0.0006 (-0.29%),UP
Mon 29 Mar '04,985.76 M,+0.0087 (+4.31%),UP
Tue 30 Mar '04,725.18 M,+0.0063 (+2.99%),UP
Wed 31 Mar '04,604.87 M,+0.0020 (+0.92%),UP
Wed 26 May '04,524.59 M,+0.0038 (+2.04%),UP
Fri 28 May '04,638.13 M,+0.0073 (+3.90%),UP
Tue 01 Jun '04,318.61 M,-0.0002 (-0.09%),UP
Tue 06 Jul '04,575.38 M,-0.0094 (-5.87%),DOWN
Wed 07 Jul '04,344.61 M,+0.0008 (+0.50%),DOWN
Thu 08 Jul '04,430.24 M,-0.0047 (-3.07%),DOWN
Fri 09 Jul '04,1.11 B,-0.0063 (-4.30%),DOWN
Mon 12 Jul '04,676.12 M,-0.0033 (-2.31%),DOWN
Tue 13 Jul '04,567.52 M,-0.0002 (-0.18%),DOWN
Wed 14 Jul '04,901.66 M,-0.0061 (-4.43%),DOWN
Fri 06 Aug '04,5.09 B,-0.0428 (-35.23%),DOWN
Mon 09 Aug '04,1.58 B,+0.0035 (+4.45%),DOWN
Mon 13 Sep '04,966.89 M,+0.0023 (+1.92%),UP
Fri 05 Nov '04,3.85 B,+0.0186 (+14.47%),UP
Mon 08 Nov '04,719.47 M,+0.0016 (+1.08%),UP
Tue 09 Nov '04,616.47 M,-0.0009 (-0.62%),UP
Fri 03 Dec '04,1.35 B,+0.0072 (+4.33%),UP
Mon 06 Dec '04,970.95 M,+0.0082 (+4.78%),UP
Tue 07 Dec '04,2.93 B,+0.0091 (+5.02%),UP
Wed 08 Dec '04,909.43 M,+0.0023 (+1.18%),UP
Fri 07 Jan '05,763.08 M,-0.0036 (-1.91%),DOWN
Tue 11 Jan '05,1.1 B,-0.0057 (-3.08%),DOWN
Wed 12 Jan '05,1.06 B,-0.0015 (-0.84%),DOWN
Wed 02 Feb '05,2.03 B,+0.0108 (+5.57%),UP
Thu 03 Feb '05,698.67 M,-0.0022 (-1.05%),UP
Fri 04 Feb '05,807.23 M,+0.0117 (+5.74%),UP
Tue 05 Apr '05,432.89 M,-0.0034 (-1.75%),DOWN
Wed 13 Apr '05,498.64 M,-0.0081 (-4.17%),DOWN
Fri 15 Apr '05,641.25 M,-0.0064 (-3.48%),DOWN
Mon 18 Apr '05,473.16 M,-0.0013 (-0.70%),DOWN
Mon 09 May '05,772.42 M,+0.0036 (+1.86%),UP
Fri 13 May '05,2.65 B,+0.0212 (+11.15%),UP
Mon 16 May '05,664.22 M,+0.0008 (+0.36%),UP
Tue 17 May '05,639.89 M,+0.0023 (+1.10%),UP
Wed 18 May '05,550.74 M,+0.0016 (+0.74%),UP
Fri 12 Aug '05,2.32 B,+0.0142 (+6.02%),UP
Mon 15 Aug '05,882.8 M,+0.0063 (+2.54%),UP
Thu 08 Sep '05,646.12 M,+0.0031 (+1.18%),UP
Fri 09 Sep '05,457.55 M,+0.0034 (+1.29%),UP
Tue 13 Sep '05,854.83 M,+0.0081 (+3.02%),UP
Mon 03 Oct '05,550.53 M,+0.0078 (+2.74%),UP
Wed 02 Nov '05,625.38 M,+0.0160 (+5.79%),UP
